sale_id,customer_id,product_id,date_id,quantity,unit_price,total_amount
1,49,59,20251204,4,193.9,775.6
2,673,50,20250523,7,282.88,1980.16
3,720,18,20251125,5,52.87,264.35
4,1392,131,20251002,7,112.76,789.32
5,237,85,20250514,1,331.58,331.58
6,1972,46,20250516,10,110.25,1102.5
7,1222,10,20250811,2,352.16,704.32
8,894,89,20251107,6,378.86,2273.16
9,789,131,20251023,2,112.76,225.52
10,91,49,20251229,5,74.12,370.6
11,1065,112,20251003,1,53.72,53.72
12,746,176,20250809,4,278.08,1112.32
13,1277,18,20250610,6,52.87,317.22
14,1475,170,20250603,2,246.82,493.64
15,1366,130,20250729,5,81.62,408.1
16,1428,84,20250601,7,384.09,2688.63
17,393,142,20250804,3,24.67,74.01
18,1388,171,20250331,7,50.69,354.83
19,617,158,20250727,10,417.7,4177.0
20,623,141,20250527,1,126.88,126.88
21,1610,54,20251024,7,257.22,1800.54
22,953,156,20250815,6,440.24,2641.44
23,1047,114,20250831,4,128.08,512.32
24,1350,189,20250213,3,81.5,244.5
25,1360,73,20251121,9,306.44,2757.96
26,192,159,20250501,6,154.75,928.5
27,461,173,20250412,5,6.76,33.8
28,95,38,20250506,1,192.83,192.83
29,1741,122,20250207,10,87.32,873.2
30,1815,117,20251119,7,234.0,1638.0
31,1472,148,20251223,4,69.78,279.12
32,819,99,20250505,8,34.14,273.12
33,1829,38,20250224,1,192.83,192.83
34,449,200,20250401,7,178.08,1246.56
35,952,179,20250126,9,452.44,4071.96
36,1879,143,20250304,4,212.52,850.08
37,1642,117,20250826,3,234.0,702.0
38,1145,171,20251101,9,50.69,456.21
39,1255,82,20250916,8,47.4,379.2
40,914,110,20250323,9,432.6,3893.4
41,922,191,20250513,8,441.3,3530.4
42,1721,193,20251123,4,392.28,1569.12
43,993,71,20251117,9,435.91,3923.19
44,901,62,20250209,5,341.74,1708.7
45,481,183,20250520,5,157.59,787.95
46,1829,86,20251004,6,86.74,520.44
47,309,21,20250429,3,66.79,200.37
48,1447,99,20250420,3,34.14,102.42
49,835,17,20250619,7,55.59,389.13
50,852,139,20250201,8,339.23,2713.84
51,798,53,20251027,7,184.19,1289.33
52,1755,179,20251022,1,452.44,452.44
53,13,98,20250630,8,40.14,321.12
54,1748,77,20250803,7,165.46,1158.22
55,1639,138,20251105,9,38.92,350.28
56,450,57,20250520,8,397.08,3176.64
57,60,112,20250719,8,53.72,429.76
58,1484,87,20250326,7,436.85,3057.95
59,1275,120,20251001,3,499.64,1498.92
60,1213,7,20251016,7,113.23,792.61
61,172,170,20251126,1,246.82,246.82
62,1776,110,20250825,3,432.6,1297.8
63,533,47,20250714,1,200.84,200.84
64,932,84,20250617,4,384.09,1536.36
65,570,87,20250804,7,436.85,3057.95
66,964,65,20250110,2,173.39,346.78
67,107,192,20250629,9,93.78,844.02
68,1600,58,20251130,2,300.22,600.44
69,1945,11,20250507,1,114.12,114.12
70,1273,52,20250320,1,449.42,449.42
71,970,62,20251209,3,341.74,1025.22
72,1942,30,20250422,10,142.6,1426.0
73,1571,120,20250708,5,499.64,2498.2
74,1244,43,20250228,10,137.53,1375.3
75,1976,200,20250609,3,178.08,534.24
76,53,28,20250609,10,492.68,4926.8
77,813,148,20250412,7,69.78,488.46
78,1415,20,20251118,10,366.22,3662.2
79,1428,63,20250604,2,342.45,684.9
80,1650,176,20250303,10,278.08,2780.8
81,712,145,20250930,1,467.68,467.68
82,142,110,20250917,6,432.6,2595.6
83,26,166,20250804,6,139.81,838.86
84,888,126,20250705,2,136.28,272.56
85,1449,163,20250320,8,469.77,3758.16
